id,nombre_carretera,tramo,limite_tramo,sentido,limite,velocidad,fecha,matricula,conductor
A3/+204/20090416111030000,A3,204,100,ascending,100,119,2009-04-16,4702OIA,73010468G
M40/+42/20080728194801000,M40,42,80,ascending,80,96,2008-07-28,6306III,56193398M
A1/-298/20090620190838000,A1,298,100,descending,100,116,2009-06-20,6118UAA,29480068W
M30/+10/20171120214841000,M30,10,50,ascending,50,71,2017-11-20,3667IIE,18612682R
A5/+236/20080908071344000,A5,236,100,ascending,100,96,2008-09-08,1858UEA,65871451A
A2/-242/20090714002253000,A2,242,100,descending,100,102,2009-07-14,4702OIA,73010468G
A4/+54/20170708201302000,A4,54,100,ascending,100,99,2017-07-08,2639AAA,55533072D
A2/-242/20090917205448000,A2,242,100,descending,100,113,2009-09-17,2955AUA,63050842E
A6/-60/20080315155338000,A6,60,100,descending,100,128,2008-03-15,0861EUI,25819562S
M40/+56/20090124105036000,M40,56,80,ascending,80,95,2009-01-24,8489EAU,33254360V
M45/-20/20091014101815000,M45,20,80,descending,80,100,2009-10-14,1286OEO,97976946M
A5/+268/20170711221305000,A5,268,100,ascending,100,111,2017-07-11,4741IOU,94229966R
M40/+33/20100116151752000,M40,33,80,ascending,80,97,2010-01-16,7121UAU,38930269D
A1/+131/20130620032154000,A1,131,100,ascending,100,86,2013-06-20,3949IOE,65289655S
M50/-50/20121008150637000,M50,50,100,descending,100,120,2012-10-08,6864AIU,02055702P
A5/+268/20120808114831000,A5,268,100,ascending,100,84,2012-08-08,7981IOE,20304333W
M30/-12/20121203043145000,M30,12,50,descending,50,65,2012-12-03,6493OEA,65572592Y
A4/-285/20130812125148000,A4,285,100,descending,100,112,2013-08-12,5525OUO,40915263B
A4/-203/20111005083926000,A4,203,100,descending,100,120,2011-10-05,0609OUU,07836519M
A4/-233/20130513204805000,A4,233,100,descending,100,110,2013-05-13,7283OOE,99181271G
A1/-298/20110619220610000,A1,298,100,descending,100,114,2011-06-19,5502UIE,58444159D
M50/-15/20121213151609000,M50,15,100,descending,100,128,2012-12-13,7494UEU,33585461X
A6/+38/20130428110459000,A6,38,100,ascending,100,99,2013-04-28,6523AIO,89897064T
M30/-23/20100602080354430,M30,23,50,descending,50,63,2010-06-02,7608OAU,94229966R
M30/+10/20110717172053650,M30,10,50,ascending,50,68,2011-07-17,8140AOE,76202995Q
A4/+50/20090521150748920,A4,50,100,ascending,100,118,2009-05-21,2543OUU,19322800V
M40/-55/20101219214324710,M40,55,80,descending,80,83,2010-12-19,7493AUE,50774649X
A6/-60/20100804235942980,A6,60,100,descending,100,110,2010-08-04,0583EAA,58793740J
M50/+75/20100811224447610,M50,75,100,ascending,100,115,2010-08-11,0946UOU,62526264M
M45/-29/20090818061018830,M45,29,80,descending,80,93,2009-08-18,6511IUE,36259246E
M30/-25/20100822054022090,M30,25,50,descending,50,69,2010-08-22,6864AIU,02055702P
A3/+17/20091119060145380,A3,17,100,ascending,100,117,2009-11-19,0383IOU,00708677R
M40/+40/20090928011847010,M40,40,80,ascending,80,97,2009-09-28,1943OAO,98277257M
M50/+75/20091026094511420,M50,75,100,ascending,100,112,2009-10-26,4366UII,34791409E
A6/-108/20100226084654560,A6,108,100,descending,100,107,2010-02-26,9519IEI,35044021W
M40/-43/20110216160545520,M40,43,80,descending,80,91,2011-02-16,8506OUO,48272209Q
A6/+234/20111031132042570,A6,234,100,ascending,100,112,2011-10-31,7163UUU,84916986C
A4/-188/20110629040826840,A4,188,100,descending,100,116,2011-06-29,3732IUO,97201505D
M50/+11/20100920163515350,M50,11,100,ascending,100,119,2010-09-20,6758UOE,28786879X
A3/+123/20100502124333190,A3,123,100,ascending,100,127,2010-05-02,0566EAU,65289655S
A4/-233/20101228213921450,A4,233,100,descending,100,115,2010-12-28,5408EII,39707566K
M30/+32/20110118131921010,M30,32,50,ascending,50,102,2011-01-18,7493AUE,50774649X
A2/-155/20100714104239400,A2,155,100,descending,100,117,2010-07-14,6880OUO,77467632K
A3/+49/20100107113310790,A3,49,100,ascending,100,111,2010-01-07,2512UAA,33300126J
M45/+17/20090601085941400,M45,17,80,ascending,80,91,2009-06-01,6511IUE,36259246E
A5/-137/20110824075402250,A5,137,100,descending,100,114,2011-08-24,9519IEI,35044021W
A6/-60/20101226073502100,A6,60,100,descending,100,110,2010-12-26,0383IOU,00708677R
A5/+95/20100130104622290,A5,95,100,ascending,100,110,2010-01-30,1295IIA,64997574B
A1/+162/20090702183041100,A1,162,100,ascending,100,115,2009-07-02,9037UOU,95323852F
A6/+234/20120201163020820,A6,234,100,ascending,100,120,2012-02-01,6206EOU,49078455C
A5/-211/20110404182711300,A5,211,100,descending,100,117,2011-04-04,6205AIA,69049869M
M30/+11/20091018193152030,M30,11,50,ascending,50,70,2009-10-18,4760AEE,00528326Q
A3/-252/20080624035758000,A3,252,100,descending,100,115,2008-06-24,0344UEE,25877835Y
A1/-268/20090428182259000,A1,268,100,descending,100,114,2009-04-28,4776EUI,15187129E
A4/-96/20080717172459000,A4,96,100,descending,100,111,2008-07-17,0383IOU,00708677R
M50/+11/20100118000257000,M50,11,100,ascending,100,113,2010-01-18,1103EEA,07471244Q
A3/+17/20170717032839000,A3,17,100,ascending,100,114,2017-07-17,5329UEU,75584686Q
M30/-12/20080227115220000,M30,12,50,descending,50,58,2008-02-27,8691OEI,14502021S
A5/+274/20080913142557000,A5,274,100,ascending,100,111,2008-09-13,6206EOU,49078455C
A4/-223/20090204172732000,A4,223,100,descending,100,120,2009-02-04,4237EIO,62793298D
A5/+53/20170615142140000,A5,53,100,ascending,100,112,2017-06-15,7608OAU,94229966R
A2/-230/20170822055359000,A2,230,100,descending,100,119,2017-08-22,0398EUI,45191051F
A6/-254/20081114132625000,A6,254,100,descending,100,119,2008-11-14,5279OUE,97091580R
A1/+217/20091222214738000,A1,217,100,ascending,100,120,2009-12-22,7196EOI,60735038L
A2/-242/20100105083652000,A2,242,100,descending,100,118,2010-01-05,0716AUU,55133962H
A1/+122/20170921191511000,A1,122,100,ascending,100,107,2017-09-21,7608OAU,94229966R
A5/-271/20090508072819000,A5,271,100,descending,100,140,2009-05-08,5828EEE,20304333W
A4/-96/20090813210910000,A4,96,100,descending,100,119,2009-08-13,2370AOA,74026572Z
M45/+33/20091011053745000,M45,33,80,ascending,80,98,2009-10-11,5303EIO,21582390H
A1/+76/20090621131249000,A1,76,100,ascending,100,126,2009-06-21,6864AIU,02055702P
M30/+10/20090113060635000,M30,10,50,ascending,50,67,2009-01-13,7757IAI,41938714P
A3/-92/20090305022000000,A3,92,100,descending,100,115,2009-03-05,5279OUE,97091580R
M30/+11/20130903022115000,M30,11,50,ascending,50,69,2013-09-03,2512UAA,33300126J
M30/-24/20131121212227000,M30,24,50,descending,50,86,2013-11-21,0946UOU,62526264M
A6/-244/20140206135706000,A6,244,100,descending,100,91,2014-02-06,9237OAU,46392720H
A1/+162/20121015113612000,A1,162,100,ascending,100,92,2012-10-15,2458AEU,46392720H
A6/+38/20120218234211000,A6,38,100,ascending,100,104,2012-02-18,1810AUI,51468998N
M40/-60/20130919211728000,M40,60,80,descending,80,91,2013-09-19,1117IAU,25913468N
M50/+66/20130217095735000,M50,66,100,ascending,100,95,2013-02-17,4785UUA,36259246E
A3/-10/20111006222233000,A3,10,100,descending,100,85,2011-10-06,9534OIE,70106310X
M40/+33/20120727004432000,M40,33,80,ascending,80,85,2012-07-27,5862IOU,36071957E
A4/+91/20131202135542000,A4,91,100,ascending,100,99,2013-12-02,1497IUA,58161619R
M45/+22/20111020222114000,M45,22,80,ascending,80,82,2011-10-20,2698UEA,30173036A
M40/+44/20120512083351000,M40,44,80,ascending,80,79,2012-05-12,1480EUA,17817924P
A2/-147/20131121025128000,A2,147,100,descending,100,117,2013-11-21,6464AIA,08914907S
A2/+10/20130920135455000,A2,10,100,ascending,100,117,2013-09-20,3949IOE,65289655S
A2/+184/20121204041402000,A2,184,100,ascending,100,98,2012-12-04,3722EAE,37794073J
M40/+16/20120926203738000,M40,16,80,ascending,80,72,2012-09-26,5944EOE,22117400W
A2/+115/20120620115521000,A2,115,100,ascending,100,113,2012-06-20,5938AOI,23939454L
A5/+274/20120409212407000,A5,274,100,ascending,100,108,2012-04-09,8828OIA,63709185J
A1/-268/20110731190328000,A1,268,100,descending,100,100,2011-07-31,2973AAI,63417788A
A1/-268/20110731190336000,A1,268,100,descending,100,99,2011-07-31,1405AOU,92531445F
A1/+242/20131012234209000,A1,242,100,ascending,100,98,2013-10-12,5823AEO,47614918L
M50/+75/20130123005632000,M50,75,100,ascending,100,93,2013-01-23,5716IEO,81542499R
A2/+157/20121003130352000,A2,157,100,ascending,100,93,2012-10-03,8140AOE,76202995Q
M40/-15/20130107184535000,M40,15,80,descending,80,77,2013-01-07,5338IEI,80551722H
A3/+49/20120831093021000,A3,49,100,ascending,100,103,2012-08-31,6797EIU,52223220H
A3/-92/20121107042012000,A3,92,100,descending,100,117,2012-11-07,6493OEA,65572592Y
A2/+48/20110616035404000,A2,48,100,ascending,100,112,2011-06-16,3295IOE,53832275Q
M50/-85/20130315034255000,M50,85,100,descending,100,91,2013-03-15,7121UAU,38930269D
A3/-251/20130225184419000,A3,251,100,descending,100,116,2013-02-25,8506OUO,48272209Q
A3/+17/20131014033757000,A3,17,100,ascending,100,97,2013-10-14,4483AIO,26322160V
A2/-296/20110926042708000,A2,296,100,descending,100,110,2011-09-26,3204OUA,18258713W
M40/+40/20130530014626000,M40,40,80,ascending,80,83,2013-05-30,5831EEE,40977364N
A2/+58/20131108055848000,A2,58,100,ascending,100,101,2013-11-08,4776EUI,15187129E
A1/+154/20130701024146000,A1,154,100,ascending,100,116,2013-07-01,4286AUA,71116260F
M30/-32/20091015120858830,M30,32,50,descending,50,69,2009-10-15,6758UOE,28786879X
M40/+42/20100416203942380,M40,42,80,ascending,80,112,2010-04-16,5828EEE,20304333W
M30/-25/20111027171918180,M30,25,50,descending,50,75,2011-10-27,6320UOU,87457684T
A3/-251/20110923003216820,A3,251,100,descending,100,115,2011-09-23,3949IOE,65289655S
A5/-211/20100519124743830,A5,211,100,descending,100,113,2010-05-19,5119AUI,19502956Z
A6/+234/20090523024617230,A6,234,100,ascending,100,119,2009-05-23,7757IAI,41938714P
A2/+48/20110314204024450,A2,48,100,ascending,100,133,2011-03-14,4978AUI,32457390C
M45/-29/20110628074814560,M45,29,80,descending,80,92,2011-06-28,3346AOO,00528326Q
M45/+31/20091101020958420,M45,31,80,ascending,80,90,2009-11-01,3631IUU,63709185J
M50/+11/20110221183707540,M50,11,100,ascending,100,116,2011-02-21,2072UIE,15187129E
A4/+50/20110518131612830,A4,50,100,ascending,100,114,2011-05-18,5154AEO,84218087E
A5/+70/20100904184937020,A5,70,100,ascending,100,116,2010-09-04,3647AEO,44338136R
A4/+260/20120111110647440,A4,260,100,ascending,100,118,2012-01-11,1802IAU,08914907S
A1/-271/20100515151012660,A1,271,100,descending,100,113,2010-05-15,4519AIU,46197994X
A3/+17/20110906140123060,A3,17,100,ascending,100,120,2011-09-06,0504IUE,04224805G
M50/+75/20120115155129640,M50,75,100,ascending,100,118,2012-01-15,3434AOI,76113108J
A2/-242/20100613121026950,A2,242,100,descending,100,110,2010-06-13,6118UAA,29480068W
A5/-211/20110410223153310,A5,211,100,descending,100,119,2011-04-10,6118UAA,29480068W
M50/-85/20091007183526780,M50,85,100,descending,100,120,2009-10-07,3667IIE,18612682R
A6/+234/20090803221002540,A6,234,100,ascending,100,113,2009-08-03,2512UAA,33300126J
A5/-271/20111213034317420,A5,271,100,descending,100,115,2011-12-13,7919AEO,21987229B
A2/+275/20100309153622220,A2,275,100,ascending,100,159,2010-03-09,5823AEO,47614918L
A1/+217/20110424213522880,A1,217,100,ascending,100,127,2011-04-24,8419EIE,57722756R
A2/+10/20101102115410850,A2,10,100,ascending,100,114,2010-11-02,6734OUU,81207757R
M45/-28/20120105123215370,M45,28,80,descending,80,95,2012-01-05,9200IIA,93655750A
A6/+234/20110810131652860,A6,234,100,ascending,100,112,2011-08-10,6292EIA,47285810H
A1/-271/20090710083529520,A1,271,100,descending,100,110,2009-07-10,1329EUA,08375827D
A2/-155/20110909124316640,A2,155,100,descending,100,114,2011-09-09,0728IOU,79172538Y
A4/-233/20131104001202000,A4,233,100,descending,100,114,2013-11-04,0718UUE,65897309D
A5/-137/20130612193445000,A5,137,100,descending,100,127,2013-06-12,7757IAI,41938714P
A5/+53/20130723051055000,A5,53,100,ascending,100,116,2013-07-23,2877AIA,59015527B
M40/-60/20120123103020000,M40,60,80,descending,80,103,2012-01-23,9218OIA,21371673G
A2/-168/20120708135833000,A2,168,100,descending,100,116,2012-07-08,1369OAU,31414734T
M45/-26/20120912100915000,M45,26,80,descending,80,97,2012-09-12,0398EUI,45191051F
A3/+241/20130512192619000,A3,241,100,ascending,100,117,2013-05-12,7789UAO,98595100B
M45/-29/20110519083744000,M45,29,80,descending,80,105,2011-05-19,5154AEO,84218087E
A3/+17/20130227181841000,A3,17,100,ascending,100,114,2013-02-27,2955AUA,63050842E
M50/-50/20131113041210000,M50,50,100,descending,100,118,2013-11-13,6668OOO,54016383D
A4/-233/20130608014340000,A4,233,100,descending,100,111,2013-06-08,3812EIU,91725642D
A5/+274/20131017160207000,A5,274,100,ascending,100,135,2013-10-17,2452UEO,65393209T
A5/-211/20130127131124000,A5,211,100,descending,100,119,2013-01-27,6317EUO,06415210G
A2/-155/20130119211407000,A2,155,100,descending,100,113,2013-01-19,8448OEU,56760451Q
M40/-49/20120110065441000,M40,49,80,descending,80,92,2012-01-10,5350OAE,01707914A
A1/+218/20130603065454000,A1,218,100,ascending,100,114,2013-06-03,6111IAI,70809340E
M30/+10/20120330022505000,M30,10,50,ascending,50,67,2012-03-30,6817EUA,75939906R
A6/-108/20130408094318000,A6,108,100,descending,100,104,2013-04-08,5329UEU,75584686Q
M30/-28/20110825181125000,M30,28,50,descending,50,108,2011-08-25,7121UAU,38930269D
M30/-24/20110825184548000,M30,24,50,descending,50,63,2011-08-25,7121UAU,38930269D
A4/-96/20131003183657000,A4,96,100,descending,100,113,2013-10-03,8111EAA,12035677F
A6/+234/20131123124317000,A6,234,100,ascending,100,110,2013-11-23,6279OUE,22674835D
A5/-271/20111003101251000,A5,271,100,descending,100,120,2011-10-03,0935IOA,33972967N
A1/+96/20131111064550000,A1,96,100,ascending,100,116,2013-11-11,6817EUA,75939906R
M45/-28/20130502062150000,M45,28,80,descending,80,92,2013-05-02,4776EUI,15187129E
M40/+33/20120221163342000,M40,33,80,ascending,80,96,2012-02-21,7494UEU,33585461X
M30/+32/20120624094110000,M30,32,50,ascending,50,65,2012-06-24,6648AEO,40648481Y
A3/+155/20130118074436000,A3,155,100,ascending,100,102,2013-01-18,1943OAO,98277257M
A3/+155/20121217092838000,A3,155,100,ascending,100,115,2012-12-17,8691OEI,14502021S
A3/+123/20130814053501000,A3,123,100,ascending,100,165,2013-08-14,0438IAO,53675847B
A1/+122/20121020151818000,A1,122,100,ascending,100,132,2012-10-20,3929OOO,58444159D
A6/+234/20110924211601000,A6,234,100,ascending,100,115,2011-09-24,8177AAO,73236340Q
A1/+138/20120211213539000,A1,138,100,ascending,100,113,2012-02-11,5119EUA,80771305C
M50/+75/20131022081439000,M50,75,100,ascending,100,115,2013-10-22,7835UUA,54146779H
A6/+237/20121129054705000,A6,237,100,ascending,100,116,2012-11-29,2583UIO,99181271G
A1/-298/20110921123541000,A1,298,100,descending,100,118,2011-09-21,6818EAU,67245027L
A3/-94/20120323093403000,A3,94,100,descending,100,118,2012-03-23,2698UEA,30173036A
M50/-32/20120912024141000,M50,32,100,descending,100,120,2012-09-12,5740AUA,17646703E
A4/-277/20120511111806000,A4,277,100,descending,100,102,2012-05-11,4741IOU,94229966R
A6/+234/20131108151738000,A6,234,100,ascending,100,120,2013-11-08,8691OEI,14502021S
M50/+15/20121114162643000,M50,15,100,ascending,100,117,2012-11-14,4785UUA,36259246E
M45/-10/20110519051420000,M45,10,80,descending,80,95,2011-05-19,5303EIO,21582390H
M40/+42/20131226004450000,M40,42,80,ascending,80,98,2013-12-26,0716AUU,55133962H
A2/+115/20121007022101000,A2,115,100,ascending,100,96,2012-10-07,9218OIA,21371673G
A4/-285/20120212104407000,A4,285,100,descending,100,120,2012-02-12,6829IOA,67455235F
M30/-32/20130504111336000,M30,32,50,descending,50,72,2013-05-04,5828EEE,20304333W
A6/-254/20110823115535000,A6,254,100,descending,100,114,2011-08-23,2893EII,60730294J
M30/-30/20111006144530000,M30,30,50,descending,50,52,2011-10-06,4481IEE,47285810H
M30/-28/20111006150343000,M30,28,50,descending,50,68,2011-10-06,4481IEE,47285810H
M50/+15/20131002025154000,M50,15,100,ascending,100,116,2013-10-02,6525AEI,87980168Q
A3/+241/20110831130357000,A3,241,100,ascending,100,117,2011-08-31,7757IAI,41938714P
A6/+38/20110908093509000,A6,38,100,ascending,100,119,2011-09-08,7405UIU,11810752E
A6/+237/20110908114053000,A6,237,100,ascending,100,114,2011-09-08,7405UIU,11810752E
A5/+53/20130108231236000,A5,53,100,ascending,100,117,2013-01-08,2347OUI,31414734T
A3/+241/20131218134332000,A3,241,100,ascending,100,112,2013-12-18,6734OUU,81207757R
A4/+260/20111009211306000,A4,260,100,ascending,100,131,2011-10-09,3283IAA,22674835D
A3/+49/20131108065555000,A3,49,100,ascending,100,113,2013-11-08,4760AEE,00528326Q
A1/+242/20131202185137000,A1,242,100,ascending,100,114,2013-12-02,9733UAO,81904772R
A3/+155/20111209012017000,A3,155,100,ascending,100,116,2011-12-09,6882IUI,29525918J
M40/-60/20120402193204000,M40,60,80,descending,80,77,2012-04-02,7376AEU,47718268F
A2/-168/20111214163402000,A2,168,100,descending,100,117,2011-12-14,2698UEA,30173036A
A5/+236/20090829075146590,A5,236,100,ascending,100,118,2009-08-29,3451OIO,25840054Z
A2/+10/20101127190005820,A2,10,100,ascending,100,116,2010-11-27,6525AEI,87980168Q
A4/+54/20110604133704990,A4,54,100,ascending,100,118,2011-06-04,2347OUI,31414734T
A4/-270/20090614102749430,A4,270,100,descending,100,114,2009-06-14,5999AAI,11810752E
A6/+38/20110803161115100,A6,38,100,ascending,100,113,2011-08-03,1717III,65572592Y
A6/-198/20091025170327190,A6,198,100,descending,100,112,2009-10-25,7757IAI,41938714P
A6/-254/20111121004745720,A6,254,100,descending,100,120,2011-11-21,1369OAU,31414734T
A1/-298/20101028222718320,A1,298,100,descending,100,105,2010-10-28,7372AEU,73520242Y
A3/+155/20090517011346350,A3,155,100,ascending,100,114,2009-05-17,9237OAU,46392720H
M30/-25/20110319042901360,M30,25,50,descending,50,63,2011-03-19,1564AII,58576842M
A1/-298/20101219114516170,A1,298,100,descending,100,119,2010-12-19,7034IUI,70018716T
A6/+234/20100326163142760,A6,234,100,ascending,100,117,2010-03-26,0566EAU,65289655S
A5/+249/20111003233211730,A5,249,100,ascending,100,117,2011-10-03,0344UEE,25877835Y
M30/+14/20100528030005050,M30,14,50,ascending,50,58,2010-05-28,7696UOA,58793740J
M50/+49/20110622072943700,M50,49,100,ascending,100,113,2011-06-22,1802IAU,08914907S
A1/+217/20090701031523000,A1,217,100,ascending,100,116,2009-07-01,8784IUI,70106310X
A2/+10/20091016022329680,A2,10,100,ascending,100,114,2009-10-16,9733UAO,81904772R
M30/+14/20100214020551020,M30,14,50,ascending,50,60,2010-02-14,2583UIO,99181271G
A4/-96/20100427155740680,A4,96,100,descending,100,117,2010-04-27,0344UEE,25877835Y
M45/-26/20110814182745900,M45,26,80,descending,80,98,2011-08-14,3283IAA,22674835D
A4/+260/20110113193429660,A4,260,100,ascending,100,127,2011-01-13,9237OAU,46392720H
A2/+45/20120112211720490,A2,45,100,ascending,100,112,2012-01-12,1810AUI,51468998N
A3/-127/20110917133150390,A3,127,100,descending,100,119,2011-09-17,6306III,56193398M
A5/+53/20100716130626870,A5,53,100,ascending,100,131,2010-07-16,5329UEU,75584686Q
M50/+66/20130406170335000,M50,66,100,ascending,100,112,2013-04-06,7250EOE,65151191B
A5/-100/20130722072022000,A5,100,100,descending,100,110,2013-07-22,0609OUU,07836519M
A2/-155/20130206181658000,A2,155,100,descending,100,112,2013-02-06,5502UIE,58444159D
M40/-60/20131128021709000,M40,60,80,descending,80,97,2013-11-28,1497IUA,58161619R
A5/+274/20120824201523000,A5,274,100,ascending,100,112,2012-08-24,1675EOA,74080979A
M30/+10/20130212123801000,M30,10,50,ascending,50,42,2013-02-12,8775UUI,50091888G
A1/-271/20110729072039000,A1,271,100,descending,100,119,2011-07-29,0062OEA,37616247T
A2/+184/20120406121921000,A2,184,100,ascending,100,112,2012-04-06,1103EEA,07471244Q
M30/+10/20120510150520000,M30,10,50,ascending,50,64,2012-05-10,9733UAO,81904772R
M30/-26/20110525085338000,M30,26,50,descending,50,86,2011-05-25,0861EUI,25819562S
A5/+72/20130418220928000,A5,72,100,ascending,100,114,2013-04-18,5329UEU,75584686Q
M50/-32/20121208035355000,M50,32,100,descending,100,113,2012-12-08,6523AIO,89897064T
M40/+28/20130423005112000,M40,28,80,ascending,80,81,2013-04-23,3346AOO,00528326Q
A5/-271/20120107014639000,A5,271,100,descending,100,110,2012-01-07,2339OOI,07595709M
A2/+157/20130513215557000,A2,157,100,ascending,100,118,2013-05-13,4785UUA,36259246E
A5/+53/20130917042310000,A5,53,100,ascending,100,95,2013-09-17,5023EII,92366576W
M50/-34/20130311160219000,M50,34,100,descending,100,100,2013-03-11,3732IUO,97201505D
A5/+72/20130424040302000,A5,72,100,ascending,100,118,2013-04-24,2970EUI,07836519M
A5/-54/20130419194706000,A5,54,100,descending,100,120,2013-04-19,1802IAU,08914907S
A2/+10/20130510084534000,A2,10,100,ascending,100,115,2013-05-10,0946UOU,62526264M
A1/-268/20110715195428000,A1,268,100,descending,100,104,2011-07-15,5823AEO,47614918L
M30/-12/20121108060255000,M30,12,50,descending,50,54,2012-11-08,6292EIA,47285810H
M50/+66/20121016052931000,M50,66,100,ascending,100,164,2012-10-16,6829IOA,67455235F
A2/+75/20120501074458000,A2,75,100,ascending,100,117,2012-05-01,7757IAI,41938714P
