matricula,bastidor,marca,modelo,potencia,color,fecha_matriculacion,titular
2639AAA,QQO14678O28317466,Bemev,Cuple,1400,gris metalizado,2006-10-31,55533072D
2955AUA,QQO00742I75887536,Escola,Cuartus,1400,beige,2007-09-10,63050842E
0861EUI,IIO62295O24945526,Rinaul,Arroyo,1600,blanco metalizado,2008-06-27,25819562S
8489EAU,QII08861O40845066,Rinaul,Charco,1400,verde,2006-09-23,97201505D
1286OEO,OII27925I50936906,Zitron,Lemmon,1400,beige,2007-07-03,97976946M
4741IOU,QQO55908Q93098386,Merche,Rod-star,1400,gris,2004-07-13,92453827Z
7121UAU,OOO92598Q24398258,Seta,Amanita,1400,morado metalizado,2005-03-27,38930269D
3949IOE,QOO41512I34042027,Bemev,Cuple,1400,violeta metalizado,2006-07-12,33254360V
6864AIU,OIO17179O13898532,Peuyo,Entero,1400,magenta,2007-07-31,55074832K
7981IOE,QII57410O45030063,Merche,Rod-star,1400,azul,2008-05-31,55087522S
6493OEA,IQQ64123Q58925888,Merche,Berlin,1400,negro,2003-04-14,99181271G
5525OUO,IQO83205O51180106,Peuyo,Entero,1400,rojo metalizado,2004-09-07,92366576W
0609OUU,QQI81621Q14193903,Escola,Tercius,1400,beige,2006-01-23,00528326Q
7283OOE,OII87486Q10383606,Seta,Champi,1400,gris metalizado,2008-12-18,08375827D
5502UIE,QOO52534Q98854002,Rinaul,Fuente,1400,gris metalizado,2002-10-05,41983923E
7494UEU,OIQ99703O13452404,Zitron,Tangerine,1400,negro,2007-12-23,33585461X
6523AIO,IIQ15895I14342197,Peuyo,Natural,1400,blanco,2006-03-22,89897064T
7608OAU,QOQ57086Q22530925,Bemev,Suv-X,1400,blanco,2007-03-23,80738207L
8140AOE,IOQ28379I74581401,Rinaul,Manante,1600,plateado metalizado,2008-08-08,76202995Q
2543OUU,IOQ86262Q94000006,Peuyo,Entero,1400,negro metalizado,2007-10-22,05511330R
7493AUE,QOQ56969I58631310,Seta,Cardus,1400,blanco metalizado,2004-06-19,24230709W
0583EAA,QII41544Q45043796,Peuyo,Real,1400,naranja,2004-06-21,49806223E
0946UOU,QQQ51788O54643145,Rinaul,Fuente,1400,fucsia metalizado,2002-05-07,62526264M
6511IUE,QQO45851Q95332134,Escola,Seconda,1400,blanco,2003-06-26,60908146Y
6864AIU,OIO17179O13898532,Peuyo,Entero,1400,magenta,2007-07-31,55074832K
0383IOU,IOO77788O45452599,Bemev,Berlin,1400,negro,2009-01-13,00708677R
1943OAO,OQQ77027O26004989,Bemev,Berlin,1400,gris,2004-06-20,98277257M
4366UII,QOQ46187I96941104,Escola,Seconda,1400,rojo metalizado,2002-08-20,34791409E
9519IEI,OIO13264I31209486,Bemev,Suv-X,1400,gris,2008-08-31,61353152P
8506OUO,QII06239O87469665,Rinaul,Charco,1400,tornasol,2006-07-14,70886396M
7163UUU,OQI17265I29242525,Escola,Cuartus,1400,gris,2005-12-21,84916986C
3732IUO,OOO53618O28644895,Fork,Tetrox,1400,dorado metalizado,2005-09-26,43201383T
6758UOE,OQO71060O20714781,Rinaul,Arroyo,1600,plateado,2006-05-22,17017996C
0566EAU,IOQ70224Q79374722,Rinaul,Fuente,1400,negro,2003-11-21,60908146Y
5408EII,OQI93306Q71422991,Peuyo,Natural,1400,negro,2006-01-05,60908146Y
7493AUE,QOQ56969I58631310,Seta,Cardus,1400,blanco metalizado,2004-06-19,24230709W
6880OUO,IQO77837Q26091208,Merche,Rod-star,1400,dorado,2004-09-14,77467632K
2512UAA,QQO89197I91405409,Fork,Escolta,1400,rojo metalizado,2002-09-28,22649968M
6511IUE,QQO45851Q95332134,Escola,Seconda,1400,blanco,2003-06-26,60908146Y
9519IEI,OIO13264I31209486,Bemev,Suv-X,1400,gris,2008-08-31,61353152P
0383IOU,IOO77788O45452599,Bemev,Berlin,1400,negro,2009-01-13,00708677R
1295IIA,IQO99022O12874558,Escola,Tercius,1400,blanco,2006-08-30,64997574B
9037UOU,OIO52124O45987574,Zitron,Grapef,1400,verde,2005-12-27,95323852F
6206EOU,OOQ49596O98630251,Escola,Tercius,1400,dorado metalizado,2006-05-06,77045444K
6205AIA,OQI29527Q44741473,Seta,Champi,1400,verde,2005-11-02,51464893R
4760AEE,OQI84817O94178267,Fork,Escolta,1400,blanco,2004-08-26,60305223M
0344UEE,OII94725I25129793,Escola,Seconda,1400,blanco metalizado,2006-05-12,20147685F
4776EUI,OOQ45179Q65086868,Merche,Rod-star,1400,gris metalizado,2002-10-21,44338136R
0383IOU,IOO77788O45452599,Bemev,Berlin,1400,negro,2009-01-13,00708677R
1103EEA,OQI59778Q33920532,Rinaul,Charco,1400,blanco,2006-04-20,07471244Q
5329UEU,IQI54930Q10981187,Zitron,Tangerine,1400,gris,2002-04-13,75584686Q
8691OEI,IOO13600Q29523275,Zitron,Grapef,1400,blanco,2004-02-04,21371673G
6206EOU,OOQ49596O98630251,Escola,Tercius,1400,dorado metalizado,2006-05-06,77045444K
4237EIO,IQQ95604Q39887649,Escola,Cuartus,1400,negro,2008-07-12,75939906R
7608OAU,QOQ57086Q22530925,Bemev,Suv-X,1400,blanco,2007-03-23,80738207L
0398EUI,OOO89942Q75868161,Rinaul,Charco,1400,blanco metalizado,2007-05-22,12028211Q
5279OUE,QIQ53737Q94873236,Zitron,Lemmon,1400,negro metalizado,2003-02-15,97091580R
7196EOI,OQI56121Q28442356,Peuyo,Entero,1400,azul metalizado,2008-04-23,49806223E
0716AUU,QQQ55757I44532899,Zitron,Orange,1400,plateado metalizado,2004-02-10,55133962H
7608OAU,QOQ57086Q22530925,Bemev,Suv-X,1400,blanco,2007-03-23,80738207L
5828EEE,OQO06911I77628882,Bemev,Berlin,1400,plateado metalizado,2004-05-23,06415210G
2370AOA,QOI80405O48038890,Escola,Cuartus,1400,cuarzo metalizado,2007-01-20,74026572Z
5303EIO,OOO29790O68615290,Rinaul,Fuente,1400,azul metalizado,2007-07-21,21582390H
6864AIU,OIO17179O13898532,Peuyo,Entero,1400,magenta,2007-07-31,55074832K
7757IAI,QOQ15743I93680654,Escola,Primus,1400,azul metalizado,2006-06-01,41938714P
5279OUE,QIQ53737Q94873236,Zitron,Lemmon,1400,negro metalizado,2003-02-15,97091580R
2512UAA,QQO89197I91405409,Fork,Escolta,1400,rojo metalizado,2002-09-28,22649968M
0946UOU,QQQ51788O54643145,Rinaul,Fuente,1400,fucsia metalizado,2002-05-07,62526264M
9237OAU,IQO41194Q96493385,Bemev,Berlin,1400,dorado metalizado,2003-04-22,41983923E
2458AEU,III79828Q75128034,Peuyo,Natural,1400,naranja metalizado,2004-04-14,40915263B
1810AUI,IQQ47432O50328258,Escola,Cuartus,1400,dorado,2007-09-03,51468998N
1117IAU,QQI39749I21129051,Fork,Escolta,1400,pardo,2003-03-19,25913468N
4785UUA,QQI71806I35950133,Merche,Estadio,1400,gris,2008-04-02,06415210G
9534OIE,OOO91174I55504918,Rinaul,Fuente,1400,fucsia,2004-07-21,44637269L
5862IOU,IOQ24526I72268006,Rinaul,Fuente,1400,azul metalizado,2008-12-11,78455829T
1497IUA,IQO21503O84888857,Fork,Bipua,1400,plateado metalizado,2003-04-18,48906593Z
2698UEA,QQQ84318Q58168521,Seta,Amanita,1400,blanco metalizado,2004-12-22,29480068W
1480EUA,OIQ38099Q89711541,Seta,Cardus,1400,plateado metalizado,2002-07-16,17817924P
6464AIA,IOQ21595I38823799,Bemev,Cuple,1400,plateado metalizado,2004-08-27,80805990K
3949IOE,QOO41512I34042027,Bemev,Cuple,1400,violeta metalizado,2006-07-12,33254360V
3722EAE,QQQ07181Q29093565,Zitron,Grapef,1400,plateado,2006-04-25,37794073J
5944EOE,QQO34155Q14848497,Escola,Seconda,1400,plateado metalizado,2004-06-25,22117400W
5938AOI,QII73641I58296691,Seta,Champi,1400,gris,2005-02-28,82883718K
8828OIA,IOI77370I57501874,Rinaul,Manante,1600,gris,2006-09-04,46104267P
2973AAI,III38621O87605006,Peuyo,Natural,1400,dorado,2002-12-27,17017996C
1405AOU,OII74095Q93576429,Rinaul,Charco,1400,plateado metalizado,2007-06-28,17017996C
5823AEO,OOQ24566Q85316870,Zitron,Orange,1400,dorado,2003-06-30,47614918L
5716IEO,QIQ76297O11418008,Peuyo,Primo,1600,gris metalizado,2002-12-05,81542499R
8140AOE,IOQ28379I74581401,Rinaul,Manante,1600,plateado metalizado,2008-08-08,76202995Q
5338IEI,OQQ78495O15486701,Bemev,Cuple,1400,rojo,2008-04-22,04906297Y
6797EIU,IOQ09038O61986932,Bemev,Suv-X,1400,blanco metalizado,2006-11-13,79278865G
6493OEA,IQQ64123Q58925888,Merche,Berlin,1400,negro,2003-04-14,99181271G
3295IOE,OIQ00016Q31061188,Rinaul,Fuente,1400,anil metalizado,2007-06-25,30801878W
7121UAU,OOO92598Q24398258,Seta,Amanita,1400,morado metalizado,2005-03-27,38930269D
8506OUO,QII06239O87469665,Rinaul,Charco,1400,tornasol,2006-07-14,70886396M
4483AIO,IOQ90947Q76497060,Merche,Berlin,1400,negro metalizado,2005-10-05,15742171M
3204OUA,IIO59720Q16009469,Peuyo,Real,1400,rojo,2002-08-01,18258713W
5831EEE,OIQ11256Q19208892,Merche,Rod-star,1400,ocre metalizado,2006-01-07,40977364N
4776EUI,OOQ45179Q65086868,Merche,Rod-star,1400,gris metalizado,2002-10-21,44338136R
4286AUA,IOQ01523Q94149342,Merche,Berlin,1400,granate,2004-10-30,71116260F
6758UOE,OQO71060O20714781,Rinaul,Arroyo,1600,plateado,2006-05-22,17017996C
5828EEE,OQO06911I77628882,Bemev,Berlin,1400,plateado metalizado,2004-05-23,06415210G
6320UOU,IQO90213Q86210207,Zitron,Tangerine,1400,negro metalizado,2004-02-24,87457684T
3949IOE,QOO41512I34042027,Bemev,Cuple,1400,violeta metalizado,2006-07-12,33254360V
5119AUI,OOO75734O30167787,Rinaul,Fuente,1400,dorado metalizado,2007-08-14,19502956Z
7757IAI,QOQ15743I93680654,Escola,Primus,1400,azul metalizado,2006-06-01,41938714P
4978AUI,OOI32684O78064505,Merche,Estadio,1400,gris,2008-07-03,32457390C
3346AOO,IOO08497O98670333,Fork,Escolta,1400,azul,2007-01-06,48906593Z
3631IUU,QQI31261Q32783737,Zitron,Grapef,1400,negro,2003-06-29,33300126J
2072UIE,OII25437I17656615,Merche,Estadio,1400,dorado,2004-07-05,58094111K
5154AEO,QII88530O24374260,Escola,Seconda,1400,blanco,2008-01-27,84218087E
3647AEO,OII62361I96849972,Bemev,K-brio,1400,rojo metalizado,2002-12-29,31414734T
1802IAU,OII38667I38646227,Bemev,Berlin,1400,rojo,2005-07-18,51285523P
4519AIU,OQO12512I51315316,Zitron,Grapef,1400,azul metalizado,2002-04-18,44338136R
0504IUE,QIQ58505I97074027,Bemev,K-brio,1400,plateado,2006-06-15,65572592Y
3434AOI,QII85658I22914472,Bemev,Suv-X,1400,blanco,2002-03-01,76113108J
6118UAA,IOO86091I29232341,Rinaul,Charco,1400,fucsia,2007-05-20,74080979A
6118UAA,IOO86091I29232341,Rinaul,Charco,1400,fucsia,2007-05-20,74080979A
3667IIE,QIO83777I33238686,Seta,Nizcalo,1400,blanco metalizado,2002-07-23,18612682R
2512UAA,QQO89197I91405409,Fork,Escolta,1400,rojo metalizado,2002-09-28,22649968M
7919AEO,QOI84163Q14980235,Rinaul,Fuente,1400,marron,2008-05-29,21987229B
5823AEO,OOQ24566Q85316870,Zitron,Orange,1400,dorado,2003-06-30,47614918L
8419EIE,OII11700O76761286,Rinaul,Fuente,1400,blanco,2008-10-29,30173036A
6734OUU,QQO09939I45954228,Rinaul,Manante,1600,blanco,2003-09-08,82883718K
9200IIA,QIO98366Q19140741,Escola,Primus,1400,rojo metalizado,2006-12-29,56475918Q
6292EIA,OOQ68500I33835394,Fork,Tridente,1600,cuarzo,2008-01-04,68579236K
1329EUA,IQQ36078O16593117,Zitron,Lemmon,1400,azul,2002-06-29,22649968M
0728IOU,OIQ42514I41248866,Fork,Tridente,1600,plateado,2004-03-02,72487325L
0718UUE,QIO53347Q60238367,Peuyo,Entero,1400,morado,2007-10-21,65897309D
7757IAI,QOQ15743I93680654,Escola,Primus,1400,azul metalizado,2006-06-01,41938714P
2877AIA,QIO77803O46172998,Merche,Rod-star,1400,blanco,2004-04-01,59015527B
9218OIA,OOI05730Q79417046,Merche,Estadio,1400,blanco,2003-10-15,28232810B
1369OAU,OOI69335Q51586849,Zitron,Tangerine,1400,dorado,2002-09-02,49631868F
0398EUI,OOO89942Q75868161,Rinaul,Charco,1400,blanco metalizado,2007-05-22,12028211Q
7789UAO,IOO69825O26080643,Seta,Champi,1400,morado,2003-11-10,69049869M
5154AEO,QII88530O24374260,Escola,Seconda,1400,blanco,2008-01-27,84218087E
2955AUA,QQO00742I75887536,Escola,Cuartus,1400,beige,2007-09-10,63050842E
6668OOO,OQO05288I91243621,Fork,Tetrox,1400,azul,2008-05-22,54016383D
3812EIU,IIQ55613O86187253,Zitron,Orange,1400,gris,2002-07-31,97959442G
2452UEO,IOO31585Q93414655,Fork,Bipua,1400,verde metalizado,2005-01-21,65393209T
6317EUO,OOO08870Q45492075,Bemev,Berlin,1400,azul metalizado,2008-07-15,01707914A
8448OEU,OIQ76334Q93420906,Bemev,Suv-X,1400,blanco metalizado,2004-04-15,58094111K
5350OAE,IOO27981I23368324,Escola,Primus,1400,marfil,2003-11-17,56536795N
6111IAI,QIO78629I56366773,Rinaul,Fuente,1400,dorado,2004-10-25,70809340E
6817EUA,QIO64657Q85401698,Seta,Cardus,1400,rojo,2002-03-10,86515357Y
5329UEU,IQI54930Q10981187,Zitron,Tangerine,1400,gris,2002-04-13,75584686Q
7121UAU,OOO92598Q24398258,Seta,Amanita,1400,morado metalizado,2005-03-27,38930269D
7121UAU,OOO92598Q24398258,Seta,Amanita,1400,morado metalizado,2005-03-27,38930269D
8111EAA,QII98756O94565461,Zitron,Grapef,1400,blanco metalizado,2004-07-17,02055702P
6279OUE,IQI51821Q24943387,Zitron,Tangerine,1400,rojo,2006-08-19,60305223M
0935IOA,QQQ12857O79355025,Bemev,Berlin,1400,azul metalizado,2006-12-08,02055702P
6817EUA,QIO64657Q85401698,Seta,Cardus,1400,rojo,2002-03-10,86515357Y
4776EUI,OOQ45179Q65086868,Merche,Rod-star,1400,gris metalizado,2002-10-21,44338136R
7494UEU,OIQ99703O13452404,Zitron,Tangerine,1400,negro,2007-12-23,33585461X
6648AEO,QQQ12109I84067913,Seta,Nizcalo,1400,dorado,2007-07-02,40648481Y
1943OAO,OQQ77027O26004989,Bemev,Berlin,1400,gris,2004-06-20,98277257M
8691OEI,IOO13600Q29523275,Zitron,Grapef,1400,blanco,2004-02-04,21371673G
0438IAO,OQQ56304I66675906,Zitron,Tangerine,1400,negro,2009-01-03,53675847B
3929OOO,QII67147Q67852783,Bemev,Cuple,1400,blanco,2008-12-02,58793740J
8177AAO,QQQ54489I47731029,Peuyo,Natural,1400,plateado,2004-01-16,73236340Q
5119EUA,QII24751Q68251165,Fork,Escolta,1400,aguamarina,2004-11-12,80771305C
7835UUA,QII68367I56569585,Merche,Tourne,1400,blanco,2006-06-20,54146779H
2583UIO,OQO97896Q30805722,Bemev,Cuple,1400,negro metalizado,2002-02-25,56651407S
6818EAU,QOI57614I44678610,Rinaul,Charco,1400,naranja,2006-04-15,67245027L
2698UEA,QQQ84318Q58168521,Seta,Amanita,1400,blanco metalizado,2004-12-22,29480068W
5740AUA,OQI20031Q26951497,Zitron,Grapef,1400,negro metalizado,2008-08-22,99181271G
4741IOU,QQO55908Q93098386,Merche,Rod-star,1400,gris,2004-07-13,92453827Z
8691OEI,IOO13600Q29523275,Zitron,Grapef,1400,blanco,2004-02-04,21371673G
4785UUA,QQI71806I35950133,Merche,Estadio,1400,gris,2008-04-02,06415210G
5303EIO,OOO29790O68615290,Rinaul,Fuente,1400,azul metalizado,2007-07-21,21582390H
0716AUU,QQQ55757I44532899,Zitron,Orange,1400,plateado metalizado,2004-02-10,55133962H
9218OIA,OOI05730Q79417046,Merche,Estadio,1400,blanco,2003-10-15,28232810B
6829IOA,IQO26325O33999656,Rinaul,Charco,1400,dorado,2002-06-26,67455235F
5828EEE,OQO06911I77628882,Bemev,Berlin,1400,plateado metalizado,2004-05-23,06415210G
2893EII,QIO72834I13492424,Rinaul,Charco,1400,dorado,2002-03-15,60730294J
4481IEE,QQI08224Q96288743,Rinaul,Charco,1400,gris,2009-01-13,56651407S
4481IEE,QQI08224Q96288743,Rinaul,Charco,1400,gris,2009-01-13,56651407S
6525AEI,OIO64678O93280477,Zitron,Lemmon,1400,azul,2004-03-30,87980168Q
7757IAI,QOQ15743I93680654,Escola,Primus,1400,azul metalizado,2006-06-01,41938714P
7405UIU,III22374O22741845,Fork,Tetrox,1400,negro metalizado,2005-04-20,92453827Z
7405UIU,III22374O22741845,Fork,Tetrox,1400,negro metalizado,2005-04-20,92453827Z
2347OUI,IIQ34933Q76160605,Peuyo,Natural,1400,rojo metalizado,2005-07-10,32609826N
6734OUU,QQO09939I45954228,Rinaul,Manante,1600,blanco,2003-09-08,82883718K
3283IAA,OIO21498O85554277,Merche,Rod-star,1400,purpura metalizado,2006-01-30,26322160V
4760AEE,OQI84817O94178267,Fork,Escolta,1400,blanco,2004-08-26,60305223M
9733UAO,IOO27617O30655451,Rinaul,Charco,1400,dorado,2006-01-17,81904772R
6882IUI,IQQ37428O29626828,Bemev,Berlin,1400,negro metalizado,2002-07-24,29525918J
7376AEU,OIO46697I92693441,Escola,Primus,1400,beige,2002-09-04,47718268F
2698UEA,QQQ84318Q58168521,Seta,Amanita,1400,blanco metalizado,2004-12-22,29480068W
3451OIO,QIQ08887I88096187,Bemev,Cuple,1400,gris,2004-09-17,25840054Z
6525AEI,OIO64678O93280477,Zitron,Lemmon,1400,azul,2004-03-30,87980168Q
2347OUI,IIQ34933Q76160605,Peuyo,Natural,1400,rojo metalizado,2005-07-10,32609826N
5999AAI,QQQ45174I70991065,Bemev,Cuple,1400,plateado,2009-01-27,78455829T
1717III,OIQ18415I29121885,Merche,Estadio,1400,negro,2002-05-24,11810752E
7757IAI,QOQ15743I93680654,Escola,Primus,1400,azul metalizado,2006-06-01,41938714P
1369OAU,OOI69335Q51586849,Zitron,Tangerine,1400,dorado,2002-09-02,49631868F
7372AEU,IIQ28512I42783932,Peuyo,Real,1400,blanco,2002-03-05,20147685F
9237OAU,IQO41194Q96493385,Bemev,Berlin,1400,dorado metalizado,2003-04-22,41983923E
1564AII,IOQ06526Q85602685,Escola,Cuartus,1400,rojo,2004-08-11,16203684T
7034IUI,III52427O80805860,Fork,Escolta,1400,gris,2004-07-24,31414734T
0566EAU,IOQ70224Q79374722,Rinaul,Fuente,1400,negro,2003-11-21,60908146Y
0344UEE,OII94725I25129793,Escola,Seconda,1400,blanco metalizado,2006-05-12,20147685F
7696UOA,OOI78032I91035606,Peuyo,Real,1400,gris metalizado,2007-03-09,46197994X
1802IAU,OII38667I38646227,Bemev,Berlin,1400,rojo,2005-07-18,51285523P
8784IUI,OQO15880I36350106,Bemev,Suv-X,1400,plateado metalizado,2003-11-18,50219461L
9733UAO,IOO27617O30655451,Rinaul,Charco,1400,dorado,2006-01-17,81904772R
2583UIO,OQO97896Q30805722,Bemev,Cuple,1400,negro metalizado,2002-02-25,56651407S
0344UEE,OII94725I25129793,Escola,Seconda,1400,blanco metalizado,2006-05-12,20147685F
3283IAA,OIO21498O85554277,Merche,Rod-star,1400,purpura metalizado,2006-01-30,26322160V
9237OAU,IQO41194Q96493385,Bemev,Berlin,1400,dorado metalizado,2003-04-22,41983923E
1810AUI,IQQ47432O50328258,Escola,Cuartus,1400,dorado,2007-09-03,51468998N
6306III,IOQ24860Q49121860,Seta,Nizcalo,1400,marron,2004-03-10,56193398M
5329UEU,IQI54930Q10981187,Zitron,Tangerine,1400,gris,2002-04-13,75584686Q
7250EOE,IOQ60801I73100862,Seta,Amanita,1400,dorado metalizado,2005-05-06,65151191B
0609OUU,QQI81621Q14193903,Escola,Tercius,1400,beige,2006-01-23,00528326Q
5502UIE,QOO52534Q98854002,Rinaul,Fuente,1400,gris metalizado,2002-10-05,41983923E
1497IUA,IQO21503O84888857,Fork,Bipua,1400,plateado metalizado,2003-04-18,48906593Z
1675EOA,IOO55253I81787069,Seta,Amanita,1400,marron metalizado,2003-05-26,79763740Q
8775UUI,IQI85899Q77755337,Peuyo,Real,1400,plateado metalizado,2008-04-05,19322800V
0062OEA,IOI81674Q57617232,Merche,Tourne,1400,purpura metalizado,2006-02-13,77684051X
1103EEA,OQI59778Q33920532,Rinaul,Charco,1400,blanco,2006-04-20,07471244Q
9733UAO,IOO27617O30655451,Rinaul,Charco,1400,dorado,2006-01-17,81904772R
0861EUI,IIO62295O24945526,Rinaul,Arroyo,1600,blanco metalizado,2008-06-27,25819562S
5329UEU,IQI54930Q10981187,Zitron,Tangerine,1400,gris,2002-04-13,75584686Q
6523AIO,IIQ15895I14342197,Peuyo,Natural,1400,blanco,2006-03-22,89897064T
3346AOO,IOO08497O98670333,Fork,Escolta,1400,azul,2007-01-06,48906593Z
2339OOI,QOO24966O13530390,Bemev,Cuple,1400,violeta,2003-09-24,07595709M
4785UUA,QQI71806I35950133,Merche,Estadio,1400,gris,2008-04-02,06415210G
5023EII,IOO78843O25987869,Merche,Estadio,1400,ocre,2007-08-30,80805990K
