dni,nombre,apellido1,apellido2,direccion,localidad,email,telefono,fecha_nacimiento
22117400W,Jordana,Lopez,Taramona,"Travesia Santa Teresa, N 30, 64541",Villapiedras del Rio,,,1978-11-20
04906297Y,Maria de la Presentacion,Malca,Bustos,"Travesia de los Narcisos, N 2, 48440",Valfrios,Presi@servcorreo.uctreseme.edu,555253195,1965-09-09
21582390H,Celiano,Mayo,Ruiz,"Avenida Curtidores, N 70, 61567",Villagris de Manteca,Pinturajas@servcorreo.uctreseme.edu,555288000,1981-07-27
98585779M,Feliciano,Acuna,Pelaez,"Plaza del Terciopelo, N 111, 28150",Sierra del Secano,Feliciano@servcorreo.uctreseme.edu,555283261,1953-02-18
20304333W,Ana Brigida,Sanz,Vega,"Avenida de los alamos, N 156, 94477",Sierra de los Castillos,,,1941-05-06
25819562S,Alfredo,Llaja,Solis,"Calle del Pedragal, N 141, 63278",Bercial de las Tripas,,555308934,1963-03-11
88900195C,Maria Jose,Sanchez,Uribe,"Plaza de los Jazmines, N 64, 91818",Valguijarros del Pinar,Sanch@servcorreo.uctreseme.edu,555419022,1964-06-27
15742171M,Maria de la Consolacion,Garcia,Pomar,"Calle del Silo, N 28, 64122",Sotolobos,,555985301,1961-01-30
47614918L,Ana Octavia,Ipurre,Lopez,"Plaza Curtidores, N 169, 86618",Villacalores del Pinar,ILopez@servcorreo.uctreseme.edu,555620989,1954-08-15
46197994X,Carlos,Avendano,Delgado,"Calle Carpinteros, N 199, 72686",Sototorres de Arriba,Delgui@servcorreo.uctreseme.edu,,1957-08-25
44338136R,Benigna,Lezameta,Elescano,"Calle de la Iglesia, N 75, 37133",Val de los Ciervos,Elesci@servcorreo.uctreseme.edu,,1949-07-01
70106310X,Agustin,Ventura,Aguilera,"Paseo del Sello, N 58, 17238",Sotopinares de las Setas,,555300524,1960-09-10
50219461L,Jesus,Cordoba,Triveno,"Travesia San Millan, N 9, 79672",Sotoluces del Encinar,Bully@servcorreo.uctreseme.edu,,1964-04-18
12035677F,Maribel,Arriola,Cruz,"Travesia del Lino, N 6, 69969",Valpinares,MArriola@servcorreo.uctreseme.edu,,1992-01-15
02055702P,Abundancio,Caso,Narvaez,"Avenida Santa Ines, N 193, 88706",Serrania del Vertedero,Abund@servcorreo.uctreseme.edu,,1942-08-05
47285810H,Rosaura,Ruiz,Chacon,"Calle Miguel Delibes, N 79, 36324",Valgris,,555146355,1978-12-29
56651407S,Petra,Carranza,Olea,"Calle Santo Tomas, N 30, 67869",Valpiedras,Petri@servcorreo.uctreseme.edu,,1962-06-24
55533072D,Juan,Martinez,Galdos,"Calle del Embalse, N 24, 49193",Valsopas,,555943288,1966-07-30
15928484H,Bautista,Navarro,Nunez,"Avenida del Alcazar, N 54, 96072",Nava de la Costa,,555039514,1980-05-23
37616247T,Lulu,Lomer,Valencia,"Avenida de los Pensamientos, N 178, 93819",Villasombras,Luli@servcorreo.uctreseme.edu,,1987-11-16
77684051X,Pepi,Ruiz,Puyol,"Paseo San Bartolo, N 62, 31105",Valseca,Puyi@servcorreo.uctreseme.edu,555807794,1974-07-24
22674835D,Aleth,Ibarra,Cortez,"Calle Azorin, N 47, 42277",Villatrigos del Canto Rodao,,,1938-03-14
60305223M,Roberto,Cipriano,Sabas,"Calle Hidalgos, N 165, 54603",Sotocastillos de las Tripas,,,1961-02-23
97334824C,Dimas,Bernedo,Frias,"Paseo de la Rosa, N 98, 88820",Mogote del Rio,Tron@servcorreo.uctreseme.edu,555836074,1994-08-26
05511330R,Ceadas,Granda,Diaz,"Calle de los Pensamientos, N 137, 48440",Valfrios,Carpe@servcorreo.uctreseme.edu,555345338,1967-11-07
65871451A,Maria de la Soledad,Frias,Perez,"Calle del Pedragal, N 133, 96403",Sotopinares de la Torre,Maria@servcorreo.uctreseme.edu,555807274,1983-04-15
48906593Z,Amarino,Soto,Baquerizo,"Calle del Roble, N 178, 92901",Valvacas de los Ciervos,Nasas@servcorreo.uctreseme.edu,555562373,1946-09-16
36071957E,Rosa Liliana,Quintanilla,Porras,"Travesia Mayor, N 199, 73929",Villadebajo,,555387900,1940-12-14
78455829T,Alberto Jorge,Marroquin,Hinostroza,"Plaza Santa Marta, N 186, 94428",Villapiedras del Cocido,Badabun@servcorreo.uctreseme.edu,555703822,1966-04-07
99181271G,Rosa Pandora,Quesquen,Sanz,"Plaza Lope de Vega, N 89, 49437",Fuente de los Buhos,,555899200,1975-08-21
33300126J,Benito,Villanueva,Schmitt,"Plaza del Lino, N 104, 64503",Sotosetas,Manas@servcorreo.uctreseme.edu,,1970-09-18
75969962L,Felix Juan,Marcos,Sanchez,"Avenida Jardiel Poncela, N 114, 69969",Valpinares,,,1960-09-26
62793298D,Nicolas,Canasa,Cuy,"Paseo del Parque, N 46, 90640",Ciudad del Lago,Nici@servcorreo.uctreseme.edu,555623324,1973-07-20
75939906R,Margarita,Carrillo,Nieto,"Avenida Santa Teresa, N 3, 31039",Valbajo,,555575576,1974-12-03
78135349W,Oda,Duran,Garcia,"Calle de los Narcisos, N 81, 20338",Sotolluvias de las Setas,ODuran@servcorreo.uctreseme.edu,555487529,1950-11-18
80551722H,Betiana,Machon,Cangalaya,"Calle del Greco, N 122, 17716",Villasequillo,Betiana@servcorreo.uctreseme.edu,555610755,1988-12-01
13982887Z,Carla,Hernandez,Trujillo,"Calle del Parque, N 101, 35249",Mogote del Viento,,555610017,1942-03-14
08375827D,Teobaldo,Ruiz,Claudio,"Avenida del Clavel, N 30, 84790",Villatrigos,,,1944-09-17
53675847B,Tirso,Zuniga,Rios,"Calle de la Bayeta, N 200, 60755",Sotovacas,Tirsi@servcorreo.uctreseme.edu,555881699,1970-04-13
62526264M,Lourdes,Zapata,Veliz,"Travesia San Cucufato, N 48, 22903",Valtripas de las Ardillas,Velina@servcorreo.uctreseme.edu,555179301,1980-11-08
59015527B,Leonardo,Solano,Villavicencio,"Travesia del Pedragal, N 81, 31353",Otero de la Solana,,555535986,1978-07-23
23939454L,Agustin Pedro,Jave,Ancas,"Calle de los Narcisos, N 184, 32890",Paramo del Bosque,,555108366,1963-07-28
07836519M,Carlos Alberto,Sanz,Caso,"Paseo San Juan de la Cruz, N 161, 32735",Monte de las Aguas,,,1987-04-22
47591599E,Araceli,Bertolotti,Figueroa,"Travesia Azorin, N 156, 73929",Villadebajo,,555774696,1992-04-23
90553454Q,Maria de los angeles,Paraguay,Pinas,"Paseo Lecheros, N 120, 16856",Hayedo del Jamon,MParaguay@servcorreo.uctreseme.edu,555046665,1939-12-21
31414734T,Maria Clotilde,Mendoza,Gomez,"Avenida de los alamos, N 68, 11006",Sotolemures de la Noceda,Cloty@servcorreo.uctreseme.edu,555654658,1951-05-25
79172538Y,Mariano,Saavedra,Lopez,"Calle Cazadores, N 156, 71882",Villasopas,MLopez@servcorreo.uctreseme.edu,555158705,1943-05-28
21371673G,Maria de la Cruz,Rodriguez,Lopez,"Travesia del Arroyo, N 172, 47623",Sotoseca,Cruz@servcorreo.uctreseme.edu,,1964-06-09
28232810B,Elvira,Meza,Gomez,"Travesia del Alcazar, N 116, 79034",Valmodorros de Arriba,Elvika@servcorreo.uctreseme.edu,555198710,1956-11-30
97091580R,Alfonso Carlos,Bolanos,Malaver,"Avenida Eduardo Mendoza, N 66, 46320",Paramo del Torreon,,555674565,1963-12-24
58444159D,Cesar,Arca,Ortiz,"Calle del Rancho, N 199, 93784",Hayedo del Lago,Ortiz@servcorreo.uctreseme.edu,555341673,1946-03-09
58793740J,Honorata,Alcantara,Lema,"Travesia del Encinar, N 23, 12969",Villanieves de la Alameda,Alci@servcorreo.uctreseme.edu,,1972-11-21
30173036A,Secundino,Illescas,Casanova,"Travesia San Crispulo, N 152, 67758",Sotodebajo,Seci@servcorreo.uctreseme.edu,,1962-04-05
80738207L,Judith,Artica,Peche,"Avenida de la Azucena, N 121, 47049",Valluces,,,1973-12-19
81904772R,Paula,Amable,Aguirre,"Paseo San Nicolas, N 93, 57103",Atalaya de los Buhos,,,1942-01-12
49631868F,Andres,Garcia,Ventura,"Calle Eduardo Mendoza, N 195, 68184",Valluces de la Alameda,,,1947-12-09
91725642D,Bernabe,Denegri,Larosa,"Plaza del Algodon, N 45, 31599",Tabanera del Nabar,Pastra@servcorreo.uctreseme.edu,,1968-02-22
97959442G,Jaime Daniel,Palacin,Cuenca,"Avenida del Roble, N 20, 71040",Valtripas de la Torre,Daniel@servcorreo.uctreseme.edu,,1979-09-09
94229966R,Azarias,Carrera,Laverio,"Travesia del Sello, N 196, 26319",Valtopos del Rio,ALaverio@servcorreo.uctreseme.edu,,1984-09-30
44230641P,Agustin,Ingaroca,Cortez,"Plaza Perez-Reverte, N 166, 67071",Valsolana del Bosque,,,1981-05-14
73010468G,Dario,Lopez,Rebaza,"Avenida Esteban Vicente, N 71, 65068",Sototejas de Manteca,DLopez@servcorreo.uctreseme.edu,555620557,1993-07-19
56193398M,Ignacio,Palao,Escobedo,"Plaza del Encinar, N 130, 46331",Sotolemures del Canto Rodao,Zete@servcorreo.uctreseme.edu,,1992-08-08
29480068W,Maria del Cielo,Wong,Lopez,"Plaza del Encinar, N 153, 77653",Sotosolana de Enmedio,Marita@servcorreo.uctreseme.edu,555491611,1959-05-21
74080979A,Maria de Lourdes,Chinen,nanez,"Paseo del Lago, N 140, 29401",Valfrios de los Castillos,Chinen@servcorreo.uctreseme.edu,555569495,1940-08-15
18612682R,Maria Jose,Garcia,Malaver,"Travesia de los Toros, N 24, 68540",Praderas del Torreon,Mariï¿½a@servcorreo.uctreseme.edu,555965266,1989-12-21
63050842E,Leonardo,Lluque,Lozano,"Calle Conan Doyle, N 95, 23747",Valle del Arroyo,Lluqui@servcorreo.uctreseme.edu,555253885,1964-04-23
33254360V,Elias,Ponce,Vazquez,"Plaza Hidalgos, N 152, 30490",Serrania de los Caballeros,,555901287,1949-03-06
97201505D,Antonio,Hurtado,Canteno,"Travesia del Parque, N 172, 78619",Sototrigos,Mistral@servcorreo.uctreseme.edu,,1941-03-23
97976946M,Efren,Garcia,Fierro,"Plaza de la Dalia, N 165, 77043",Villalemures del Lago,Efri@servcorreo.uctreseme.edu,555192173,1994-11-16
92453827Z,Cesar,Alatriste,Ruiz,"Plaza de la Catedral, N 63, 28664",Villaguijarros,,555867887,1972-12-09
38930269D,Teresa,Letiche,Ancas,"Travesia de la Bayeta, N 40, 60131",Paramo de los Trigos,Anci@servcorreo.uctreseme.edu,555294591,1969-03-19
65289655S,Irene,Ortega,Chaparro,"Paseo del Silo, N 176, 61124",Valtripas,,,1962-01-15
55074832K,Maria Jose,Silva,Mogollon,"Travesia San Crispulo, N 27, 51919",Sotoguas,SMogollon@servcorreo.uctreseme.edu,555228344,1952-06-19
55087522S,Antigona,Paredes,Rodriguez,"Avenida de las Carretas, N 90, 53502",San Pedro de la Noceda,,555610625,1978-11-30
40915263B,Eva Priscila,Martinez,Calderon,"Plaza Goya, N 142, 85619",Valguijarros de Debajo,,555859166,1944-02-01
92366576W,Balduino,Barrantes,Cubillo,"Calle del Alcazar, N 151, 50337",Mogote del Robledal,,555937899,1949-06-05
00528326Q,Hector,Berrospi,Vazquez,"Travesia Cazadores, N 151, 84415",Valtorres de las Setas,,555640922,1954-02-19
41983923E,Mildreda,Mayhua,Pereyra,"Avenida San Juan de la Cruz, N 114, 12325",Eriales de Abajo,,555476677,1961-05-20
33585461X,Bartolome,Ibarra,Haya,"Calle del Ayuntamiento, N 94, 36101",Villanieblas de los Trigos,,,1961-05-01
89897064T,Luis,Castillo,Jimenez,"Paseo Miguel Hernandez, N 6, 44798",Serrania de las Golondrinas,Pepo@servcorreo.uctreseme.edu,,1974-10-27
76202995Q,Ignacio Carlos,Esquiche,Bustos,"Paseo Curtidores, N 184, 45588",Mogote de las Setas,,555027592,1980-09-18
19322800V,Frutos,Paredes,Villanueva,"Calle del Mercado, N 134, 73179",Sotorriba de la Noceda,,555128481,1978-03-01
50774649X,Enrique,Caldas,Raya,"Calle del Puerto, N 47, 47734",Villaguas de Debajo,Enrique@servcorreo.uctreseme.edu,555709705,1990-07-21
24230709W,Maria Azucena,Buendia,Lopez,"Paseo Pescadores, N 198, 59582",Valtopos de la Costa,Buendiï¿½a@servcorreo.uctreseme.edu,555621295,1974-05-28
60908146Y,Ramon Carlos,Hernandez,Cangalaya,"Paseo de los Jacintos, N 11, 29575",Huertas del Nabar,,,1959-07-30
00708677R,Lorenzo,Perez,Rodriguez,"Calle Murillo, N 47, 61153",Villaluces del Nabar,Lori@servcorreo.uctreseme.edu,555913705,1962-07-21
98277257M,Revocata,Ruiz,Verasategui,"Avenida Esteban Vicente, N 21, 29632",Vallobos del Lago,RRuiz@servcorreo.uctreseme.edu,,1968-09-28
34791409E,Galo,Lujan,Gomez,"Travesia del Embalse, N 15, 31475",Valguijarros del Robledal,G@servcorreo.uctreseme.edu,555463131,1946-06-03
35044021W,Prospero,Cangalaya,Chang,"Plaza San Bartolo, N 153, 76025",Sototorres del Pinar,,,1978-05-23
61353152P,David,Lozano,Villanueva,"Avenida del Campo, N 13, 51240",Valdebajo,,,1975-08-16
48272209Q,agata,Marquina,Granda,"Plaza del Pozo, N 133, 90558",Villapiedras,,555551208,1952-11-01
70886396M,Jose Gerardo,Vega,Baltasar,"Plaza Miguel Hernandez, N 77, 90775",Villacalores,,,1947-06-08
84916986C,Matrona,Ortiz,Vallejos,"Travesia Santa Marta, N 19, 25460",Valrriba de los Castillos,,555072662,1988-11-15
43201383T,Apodemio,Calderon,Belleza,"Avenida Jardiel Poncela, N 127, 12912",Sotoarbustos,,555694511,1966-04-03
28786879X,Agilberta,Lopez,Paredes,"Avenida del Pano, N 78, 58370",Sotopiedras del Rio,Agilb@servcorreo.uctreseme.edu,,1967-10-15
17017996C,James,Perez,Cucho,"Travesia del Rastrillo, N 25, 68141",Valvacas del Torreon,,555473413,1955-11-15
39707566K,Francisca Romina,Centurion,Marreros,"Calle del Embalse, N 109, 77642",Sototripas,,555798258,1979-08-11
77467632K,David Andres,Choque,Perez,"Plaza Pastores, N 95, 81063",Sotofrios del Encinar,,555944713,1976-07-05
22649968M,Maria del Mar,Diaz,Zuniga,"Avenida del Arroyo, N 153, 67758",Sotodebajo,Coscha@servcorreo.uctreseme.edu,555571262,1956-02-11
64997574B,Victor,Lluque,Lopez,"Paseo de la Rosa, N 73, 75299",Sotocantos,,,1987-04-02
95323852F,Cesar Enrique,Gomez,Caldas,"Plaza Santo Tomas, N 193, 84387",Sotopiedras,GCaldas@servcorreo.uctreseme.edu,555945895,1953-06-16
69049869M,Gabriel Enrique,Orejuela,Herbada,"Calle Orfebres, N 51, 23734",Sotolemures de los Buhos,G.E.O.H.@servcorreo.uctreseme.edu,555298803,1962-11-09
51464893R,Leila,Conza,Sanchez,"Calle de los Tulipanes, N 126, 27306",Hayedo de las Caballerizas,,,1980-04-24
20147685F,Amaya,Diaz,Martinez,"Travesia Jardiel Poncela, N 45, 71882",Villasopas,DMartinez@servcorreo.uctreseme.edu,555280022,1965-08-05
15187129E,Francisca Roberta,Ruiz,Maza,"Calle Cervantes, N 134, 81470",Villacantos,,555240796,1944-06-22
07471244Q,Francesca,Llasa,Perez,"Calle Miguel Hernandez, N 33, 92078",Villarriba de los Buhos,,555702885,1968-10-26
75584686Q,M. Lucila,Polo,Escate,"Plaza del Puente, N 21, 36324",Valgris,Lucila@servcorreo.uctreseme.edu,555580968,1975-11-16
14502021S,David,Perez,Monterola,"Avenida del Parque, N 87, 95758",Villalluvias,D.P.M.@servcorreo.uctreseme.edu,555308870,1952-09-17
45191051F,Maria de los Reyes,Prince,Reinoso,"Travesia de los Jacintos, N 24, 45974",San Pedro del Secano,Prince@servcorreo.uctreseme.edu,,1965-02-16
12028211Q,Alejandro,Ruiz,Allauca,"Avenida del Clavel, N 103, 27144",Villaverde de los Ciervos,RAllauca@servcorreo.uctreseme.edu,555070624,1966-11-17
60735038L,Maria de la Anunciacion,Calvo,Ruiz,"Calle del Algodon, N 56, 64958",Sotofrios,Anuncy@servcorreo.uctreseme.edu,,1973-08-18
55133962H,Jezabel,Rodriguez,Alarcon,"Travesia del Encinar, N 120, 28889",Prados de Enmedio,Jezi@servcorreo.uctreseme.edu,555003666,1985-07-07
74026572Z,Dianne,Amaya,Vazquez,"Avenida de los Pensamientos, N 114, 79286",Villasolana,,,1956-04-28
41938714P,angel,Ruiz,Zapata,"Plaza de las Carretas, N 179, 79989",Bercial de San Guijuelo,,555883750,1970-08-05
46392720H,Azarias,Zavaleta,Moreno,"Paseo del Canal, N 170, 77642",Sototripas,Mori@servcorreo.uctreseme.edu,555098157,1958-04-21
51468998N,Irma,Jimenez,Mogollon,"Avenida de la Iglesia, N 135, 65411",San Jose de la Arboleda,,,1972-01-05
25913468N,Antonio,Marchena,Valladares,"Paseo de la Dalia, N 131, 91441",Villaenmedio de Manteca,,,1947-12-08
44637269L,Consolacion,Gomez,Vega,"Paseo Pastores, N 46, 54549",San Jose del Torreon,,,1955-07-27
58161619R,Jorge,Berrocal,Aragon,"Travesia de las Infantas, N 126, 95758",Villalluvias,Repe@servcorreo.uctreseme.edu,555720676,1992-07-28
17817924P,Ana Marcela,Okuma,Cuentas,"Paseo de los Nardos, N 30, 78414",Sotoverde del Encinar,Marci@servcorreo.uctreseme.edu,555918021,1971-01-16
08914907S,Maria del Coral,Levano,Pittman,"Avenida de la Rosa, N 9, 81470",Villacantos,Leona@servcorreo.uctreseme.edu,,1993-06-23
80805990K,angel Jorge,Champa,Pastor,"Calle del Alcazar, N 167, 89207",Vallluvias de la Solana,CPastor@servcorreo.uctreseme.edu,,1955-03-04
37794073J,Agustin Diego,Cruzado,Mayo,"Plaza Cervantes, N 176, 32406",Pedragales de los Viajeros,Cruzado@servcorreo.uctreseme.edu,555705641,1951-06-28
63709185J,Maria Quintina,Babilon,Huapaya,"Travesia del Silo, N 164, 29869",San Juan de las Golondrinas,Babika@servcorreo.uctreseme.edu,555582881,1991-11-09
46104267P,Felicidad,Hidroso,Torres,"Avenida Estiradores, N 167, 65776",Serrania de las Setas,,555031873,1959-11-23
63417788A,Maria de la Fuencisla,Concepcion,Siaden,"Plaza de la Comunidad, N 76, 75374",Mogote de San Guijuelo,FMaria@servcorreo.uctreseme.edu,,1984-06-06
92531445F,Leopolda,Hernandez,Baltasar,"Plaza de la Catedral, N 93, 71882",Villasopas,,555329197,1985-02-19
81542499R,Maria de los angeles,Felix,Pantoja,"Paseo de los Geranios, N 1, 86580",Sotomelones,aFelix@servcorreo.uctreseme.edu,,1971-03-26
52223220H,Mafalda,Bustos,Barzola,"Avenida Hidalgos, N 156, 91573",Eriales de los Viajeros,,555428438,1985-06-29
79278865G,Maria Jose,Diaz,Perez,"Travesia San Jose, N 34, 95508",Fuente de los Castillos,,555602531,1944-01-17
53832275Q,Pompeyo,Lopez,Cristobal,"Travesia del Roble, N 53, 34738",Sotovacas del Rio,,,1977-02-27
30801878W,Alejandra,Jurado,Robles,"Avenida de la Dalia, N 19, 86353",Villatorres,JRobles@servcorreo.uctreseme.edu,555003206,1954-11-10
26322160V,Luis,Pedreros,Sarrin,"Calle de los Jazmines, N 39, 64503",Sotosetas,Whooper@servcorreo.uctreseme.edu,555561625,1977-03-18
18258713W,Agustin Alfredo,Ponce,Zuniga,"Plaza de los Narcisos, N 139, 36324",Valgris,Alfredo@servcorreo.uctreseme.edu,555978937,1944-08-30
40977364N,Noelia,Malaver,Llanos,"Avenida del Pinar, N 11, 68480",Villaverde,,555358907,1945-05-28
71116260F,Elena,Chero,Lopez,"Travesia de los Jazmines, N 44, 63402",Valdebajo de la Noceda,Chero@servcorreo.uctreseme.edu,555556226,1944-12-15
87457684T,Octavio,Perez,Maraza,"Calle Conan Doyle, N 148, 22517",Villapiedras de las Sopas,Maraza@servcorreo.uctreseme.edu,555075869,1979-07-04
19502956Z,Baldomero,Garcia,Galdos,"Plaza del Mercado, N 148, 34463",Fuente de la Torre,,,1981-05-02
32457390C,Carmela,alvarez,Camacho,"Paseo del Rastrillo, N 93, 86353",Villatorres,,555016989,1940-04-11
58094111K,Mar,Valderrama,Salas,"Paseo Orfebres, N 197, 43710",Huertas de las Caballerizas,,555642272,1939-10-26
84218087E,M. Dorotea,Perez,Masuda,"Calle Santa Eulalia, N 64, 83813",Villatripas,Dori@servcorreo.uctreseme.edu,555075228,1971-12-19
51285523P,Francisco Carlos,Padua,Perez,"Calle San Juan de la Cruz, N 122, 95975",Valguijarros,,,1939-03-29
76113108J,Federico,Rivera,Mayo,"Paseo del Rancho, N 82, 99764",Valsetas de las Ardillas,RMayo@servcorreo.uctreseme.edu,555401509,1974-06-09
57722756R,Amador,Cruces,Cespedes,"Paseo San Bartolo, N 27, 61929",Valverde de la Solana,,555745868,1963-02-12
93655750A,Delta,Alonso,Lovon,"Avenida de la Lana, N 132, 46589",Valtripas de los Caballeros,,,1951-04-05
56475918Q,Sagrario,Mantari,Lopez,"Avenida del Mercado, N 71, 75295",Sierra de las Ardillas,Lopez@servcorreo.uctreseme.edu,555629954,1975-05-21
68579236K,Emilio Roberto,Lago,Lucero,"Paseo Dali, N 7, 71882",Villasopas,Robi@servcorreo.uctreseme.edu,555100221,1950-11-05
72487325L,Agacio,Garcia,angeles,"Paseo Carpinteros, N 86, 41041",Villagris del Lago,Risky@servcorreo.uctreseme.edu,555015300,1944-08-16
65897309D,Palmira,Rabanal,Gomez,"Travesia del Pozo, N 186, 63567",Sotoluces,,555782723,1945-05-14
98595100B,Laurentino,Romero,Jimenez,"Plaza del Rastrillo, N 38, 88887",Villaenmedio,,555693890,1986-06-07
54016383D,Maria Aparecida,Humala,Gomez,"Travesia Jardiel Poncela, N 167, 37140",Praderas de Arriba,Apari@servcorreo.uctreseme.edu,,1951-08-26
65393209T,Agustin,Durand,Sanz,"Calle del Arroyo, N 190, 53728",Villabajo,Pepon@servcorreo.uctreseme.edu,555221852,1961-05-29
01707914A,Castorio,Azcarate,Henriquez,"Plaza de la Seda, N 5, 55596",San Juan del Robledal,,555575854,1970-04-03
56760451Q,Violeta,Diaz,Monje,"Plaza Forjadores, N 185, 86192",Sotoconejos,Violi@servcorreo.uctreseme.edu,,1958-04-02
56536795N,Maria de las Angustias,Cueva,Aguilera,"Calle Quevedo, N 146, 29222",Villatejas de San Guijuelo,Chachi@servcorreo.uctreseme.edu,555177619,1948-12-12
70809340E,Maria de la Epifania,Perez,Rodriguez,"Avenida de las Carretas, N 153, 87344",Villatrigos de Manteca,,555719522,1958-01-24
86515357Y,Africano,Fritsch,Barba,"Calle del Terciopelo, N 71, 12605",Villacantos de la Alameda,Afrito@servcorreo.uctreseme.edu,555895041,1977-01-19
33972967N,Jimy,Ortiz,Fierro,"Avenida San Bartolo, N 12, 73503",Valbosques,OFierro@servcorreo.uctreseme.edu,555333249,1966-11-21
73236340Q,Maria de las Olas,Bobadilla,Laza,"Travesia del Puerto, N 10, 62101",Valtrigos,,,1949-07-20
80771305C,Maria de la Macarena,Anaya,Morales,"Calle de la Seda, N 112, 84980",Valjamones de la Solana,,,1989-01-05
54146779H,Petra Regina,Laque,Bernal,"Plaza San Cucufato, N 93, 94536",Valluces del Canto Rodao,Bernal@servcorreo.uctreseme.edu,555237276,1939-10-16
67245027L,Mariam,Lopez,Ipurre,"Avenida del Zoco Chico, N 180, 61929",Valverde de la Solana,Marina@servcorreo.uctreseme.edu,555150381,1955-04-28
17646703E,Maria Bienvenida,Hernandez,Landivar,"Avenida de los alamos, N 30, 69674",Valconejos,,555744034,1988-04-15
67455235F,David Cesar,Camacho,Jara,"Calle de la Catedral, N 105, 54298",Huertas de la Solana,,555854921,1955-01-14
60730294J,Policarpo,Pi,Paredes,"Avenida Hidalgos, N 146, 50558",Sotobosques de San Guijuelo,Pari@servcorreo.uctreseme.edu,555696471,1984-02-08
87980168Q,Jesus Diego,Bullon,Wong,"Calle San Millan, N 27, 35739",Valseca del Secano,Kiko@servcorreo.uctreseme.edu,555065167,1955-06-27
11810752E,Discorides,Zagaceta,Hernandez,"Avenida Pescadores, N 55, 71882",Villasopas,ZHernandez@servcorreo.uctreseme.edu,,1959-09-03
32609826N,Cayetano,Almeida,Kuyeng,"Travesia Estiradores, N 96, 78109",Villachimeneas de los Viajeros,,555256042,1968-10-29
47718268F,Francisca Cayetana,Lezameta,Perez,"Paseo de los Tulipanes, N 108, 36929",Sierra del Arroyo,Peri@servcorreo.uctreseme.edu,555132479,1959-04-03
25840054Z,Julio,Hermoza,Jimenez,"Avenida Conan Doyle, N 3, 70331",Valnieblas del Secano,Julino@servcorreo.uctreseme.edu,555972878,1958-05-21
58576842M,Alberto,Guerra,Carhuamaca,"Avenida Lecheros, N 128, 20628",Valtopos de los Viajeros,Alberto@servcorreo.uctreseme.edu,555034847,1950-06-18
16203684T,Reinaldo,Nagore,Martinez,"Plaza Asimov, N 29, 84604",Sotocalores,Nagore@servcorreo.uctreseme.edu,555276573,1976-03-21
70018716T,Francisco,Jimenez,Solorzano,"Travesia de la Dalia, N 70, 88386",Villanieblas,,555588180,1985-11-06
